"Site.Name","Month","Year","meanAQI_Ozone","meanAQI_pm2.5"
"Pitt Agri. Center",8,2018,36.0967741935484,34.4193548387097
"Pitt Agri. Center",8,2019,37.8387096774194,NA
"Pitt Agri. Center",9,2019,37.625,NA
"West Johnston Co.",3,2018,41.0967741935484,32.8387096774194
"West Johnston Co.",3,2019,42.2903225806452,NA
"West Johnston Co.",4,2018,48.0333333333333,34.9666666666667
"West Johnston Co.",4,2019,43.3666666666667,29.3
"West Johnston Co.",5,2018,38.8387096774194,32.7741935483871
"West Johnston Co.",5,2019,45.7741935483871,NA
"West Johnston Co.",6,2018,49.6666666666667,42.8333333333333
"West Johnston Co.",6,2019,44.0666666666667,39.6333333333333
"West Johnston Co.",7,2018,42.2903225806452,35.6774193548387
"West Johnston Co.",7,2019,44.4193548387097,43.8709677419355
"West Johnston Co.",8,2018,34.6129032258064,NA
"West Johnston Co.",8,2019,38.9032258064516,34.6451612903226
"West Johnston Co.",9,2019,40.1071428571429,NA
"West Johnston Co.",10,2018,33.1724137931034,NA
"West Johnston Co.",10,2019,34.0967741935484,27.6774193548387
